exit_date,trade_number,signal,qty,net_pnl_usd,pnl_per_contract,commission_usd,mae_usd,mfe_usd,duration_bars,is_scalein
2024-08-15,1078,ORB Long,2,425.36,212.68,3.64,-221.82,570.18,28,False
2024-08-15,1079,Scale-in Long,2,483.36,241.68,3.64,-68.82,628.18,27,True
2024-08-16,1081,Scale-in Long,2,188.36,94.18,3.64,-256.82,423.18,27,True
2024-08-16,1080,ORB Long,2,273.36,136.68,3.64,-171.82,508.18,27,False
2024-08-19,1082,ORB Long,2,851.36,425.68,3.64,-79.82,934.18,24,False
2024-08-19,1083,Scale-in Long,2,785.36,392.68,3.64,-145.82,868.18,24,True
2024-08-27,1084,ORB Long,2,372.36,186.18,3.64,-46.82,608.18,28,False
2024-08-27,1085,Scale-in Long,2,251.36,125.68,3.64,-79.82,487.18,27,True
2024-08-29,1086,ORB Long,2,-783.64,-391.82,3.64,-1230.82,189.18,28,False
2024-08-29,1087,Scale-in Long,2,-626.64,-313.32,3.64,-1073.82,346.18,27,True
2024-08-30,1088,ORB Long,2,-701.64,-350.82,3.64,-699.82,145.18,7,False
2024-08-30,1089,Scale-in Long,2,-638.64,-319.32,3.64,-636.82,116.18,6,True
2024-09-04,1091,Scale-in Long,2,43.36,21.68,3.64,-172.82,657.18,27,True
2024-09-04,1090,ORB Long,2,-70.64,-35.32,3.64,-548.82,567.18,19,False
2024-09-05,1092,ORB Long,2,-514.64,-257.32,3.64,-838.82,394.18,28,False
2024-09-05,1093,Scale-in Long,2,-470.64,-235.32,3.64,-794.82,438.18,27,True
2024-09-09,1094,ORB Long,2,141.36,70.68,3.64,-763.82,187.18,28,False
2024-09-09,1095,Scale-in Long,2,97.36,48.68,3.64,-807.82,143.18,27,True
2024-09-10,1096,ORB Long,2,58.36,29.18,3.64,-69.82,217.18,11,False
2024-09-10,1097,Scale-in Long,2,21.36,10.68,3.64,-106.82,180.18,11,True
2024-09-11,1098,ORB Long,2,1262.36,631.18,3.64,-234.82,1454.18,17,False
2024-09-11,1099,Scale-in Long,2,1085.36,542.68,3.64,-121.82,1277.18,15,True
2024-09-12,1100,ORB Long,2,292.36,146.18,3.64,-173.82,772.18,19,False
2024-09-12,1101,Scale-in Long,2,206.36,103.18,3.64,-259.82,686.18,19,True
2024-09-13,1103,Scale-in Long,2,62.36,31.18,3.64,-298.82,357.18,27,True
2024-09-13,1102,ORB Long,2,-1.64,-0.82,3.64,-365.82,293.18,27,False
2024-09-17,1104,ORB Long,2,-728.64,-364.32,3.64,-726.82,84.18,6,False
2024-09-17,1105,Scale-in Long,2,-491.64,-245.82,3.64,-489.82,184.18,6,True
2024-09-18,1106,ORB Long,2,226.36,113.18,3.64,0.0,643.18,0,False
2024-09-19,1107,ORB Long,2,96.36,48.18,3.64,-99.82,516.18,20,False
2024-09-20,1108,ORB Long,2,-277.64,-138.82,3.64,-351.82,3.18,5,False
2024-09-23,1109,ORB Long,2,-98.64,-49.32,3.64,-274.82,158.18,27,False
2024-09-24,1110,ORB Long,2,120.36,60.18,3.64,-183.82,240.18,20,False
2024-09-25,1111,ORB Long,2,31.36,15.68,3.64,-389.82,159.18,28,False
2024-09-30,1112,ORB Long,2,-111.64,-55.82,3.64,-112.82,104.18,4,False
2024-10-02,1113,ORB Long,2,363.36,181.68,3.64,-89.82,487.18,27,False
2024-10-03,1114,ORB Long,2,-266.64,-133.32,3.64,-581.82,362.18,28,False
2024-10-07,1115,ORB Long,2,-570.64,-285.32,3.64,-568.82,93.18,18,False
2024-10-08,1116,ORB Long,2,190.36,95.18,3.64,-3.82,471.18,9,False
2024-10-09,1117,ORB Long,2,587.36,293.68,3.64,-30.82,723.18,27,False
2024-10-10,1118,ORB Long,2,166.36,83.18,3.64,-121.82,469.18,10,False
2024-10-11,1119,ORB Long,2,149.36,74.68,3.64,0.0,481.18,27,False
2024-10-14,1120,ORB Long,2,-138.64,-69.32,3.64,-585.82,34.18,28,False
2024-10-16,1121,ORB Long,2,-220.64,-110.32,3.64,-242.82,3.18,10,False
2024-10-18,1122,ORB Long,2,-107.64,-53.82,3.64,-272.82,86.18,27,False
2024-10-21,1123,ORB Long,2,176.36,88.18,3.64,-595.82,241.18,28,False
2024-10-22,1124,ORB Long,2,218.36,109.18,3.64,-147.82,559.18,28,False
2024-10-24,1125,ORB Long,2,-63.64,-31.82,3.64,-138.82,28.18,5,False
2024-10-25,1126,ORB Long,2,-689.64,-344.82,3.64,-755.82,234.18,28,False
2024-10-29,1127,ORB Long,2,723.36,361.68,3.64,-32.82,931.18,27,False
2024-10-30,1128,ORB Long,2,-675.64,-337.82,3.64,-810.82,103.18,27,False
2024-11-01,1129,ORB Long,2,1.36,0.68,3.64,-181.82,475.18,28,False
2024-11-04,1130,ORB Long,2,-113.64,-56.82,3.64,-455.82,336.18,27,False
2024-11-05,1131,ORB Long,2,297.36,148.68,3.64,-233.82,380.18,28,False
2024-11-06,1132,ORB Long,2,464.36,232.18,3.64,-460.82,513.18,25,False
