n,exp,pf,wr,profitR,maxddR,fast,slow,session,volfloor,k,exit,req_exp
158,-0.08684524826994075,0.7870883370627352,0.3670886075949367,-13.72154922665064,22.7504663725672,9,50,ny0812,False,3.0,trail3.0,0.19449039643795954
190,-0.1015798504621847,0.834958898224018,0.4052631578947368,-19.300171587815093,28.14785332896415,9,50,ny0812,True,1.5,tp1.5,0.3889807928759191
182,-0.1047077483487221,0.840034008651156,0.3626373626373626,-19.05681019946742,30.262556734923535,9,50,ny0812,True,1.5,tp2.0,0.3889807928759191
173,-0.20607233428699104,0.7087963721594437,0.2947976878612717,-35.65051383164945,43.60333093683071,9,50,ny0812,True,1.5,tp3.0,0.3889807928759191
186,-0.21366078613563488,0.6587482719605052,0.3010752688172043,-39.74090622122809,45.729242572738116,9,50,ny0812,True,1.5,trail2.0,0.3889807928759191
171,-0.1988898705111373,0.7074432322733618,0.2807017543859649,-34.010167857404475,44.23724581605896,9,50,ny0812,True,1.5,trail3.0,0.3889807928759191
161,-0.1274475834094042,0.7775984570935339,0.391304347826087,-20.519060928914076,25.213808104034005,9,50,ny0812,True,2.0,tp1.5,0.2917355946569393
153,-0.16558452366350768,0.7255601368865754,0.3464052287581699,-25.334432120516674,32.110798175194816,9,50,ny0812,True,2.0,tp2.0,0.2917355946569393
145,-0.191730457099916,0.6905935628497992,0.3310344827586207,-27.800916279487822,32.27454535904006,9,50,ny0812,True,2.0,tp3.0,0.2917355946569393
169,-0.1627943600085527,0.671460040111655,0.31952662721893493,-27.51224684144541,31.594748960795368,9,50,ny0812,True,2.0,trail2.0,0.2917355946569393
151,-0.17409448696095617,0.6968748119896006,0.31788079470198677,-26.28826753110438,31.80349648789175,9,50,ny0812,True,2.0,trail3.0,0.2917355946569393
142,-0.12845472839076075,0.751717033167821,0.36619718309859156,-18.240571431488025,29.772426668648684,9,50,ny0812,True,2.5,tp1.5,0.23338847572555144
133,-0.19322775859388833,0.6454557809329062,0.3458646616541353,-25.699291892987148,32.95549844822034,9,50,ny0812,True,2.5,tp2.0,0.23338847572555144
131,-0.19159974933717916,0.6521097274590495,0.33587786259541985,-25.09956716317047,31.898866777410156,9,50,ny0812,True,2.5,tp3.0,0.23338847572555144
165,-0.14347903975402412,0.656429423455352,0.32727272727272727,-23.67404155941398,27.479707805058435,9,50,ny0812,True,2.5,trail2.0,0.23338847572555144
139,-0.1671539340244088,0.6671268267671212,0.3237410071942446,-23.234396829392825,29.829115806474064,9,50,ny0812,True,2.5,trail3.0,0.23338847572555144
128,-0.1256092011971923,0.7281057398701204,0.3671875,-16.077977753240614,24.356612066567692,9,50,ny0812,True,3.0,tp1.5,0.19449039643795954
125,-0.1516520815401224,0.6815020566726133,0.36,-18.956510192515303,24.783758609757488,9,50,ny0812,True,3.0,tp2.0,0.19449039643795954
122,-0.16337953848302816,0.658597056759862,0.3524590163934426,-19.932303694929438,26.2954349652698,9,50,ny0812,True,3.0,tp3.0,0.19449039643795954
161,-0.11221400135034842,0.6730218531795492,0.33540372670807456,-18.066454217406097,22.37635520626484,9,50,ny0812,True,3.0,trail2.0,0.19449039643795954
135,-0.1358837302075135,0.68127156064983,0.34074074074074073,-18.34430357801432,25.837288826289207,9,50,ny0812,True,3.0,trail3.0,0.19449039643795954
411,-0.07622007916181535,0.8782633365313721,0.41362530413625304,-31.326452535506107,41.99030469188473,9,50,ln0312,False,1.5,tp1.5,0.3889807928759191
383,-0.09662684595504534,0.8598835465155302,0.3524804177545692,-37.008082000782366,49.511802531644136,9,50,ln0312,False,1.5,tp2.0,0.3889807928759191
340,-0.14990971675878345,0.801783881001752,0.27941176470588236,-50.969303697986376,62.87506014277716,9,50,ln0312,False,1.5,tp3.0,0.3889807928759191
362,-0.07883643443688094,0.866135200114432,0.3453038674033149,-28.5387892661509,40.045855507489534,9,50,ln0312,False,1.5,trail2.0,0.3889807928759191
322,-0.10881494518962906,0.8401704197130582,0.2795031055900621,-35.03841235106056,48.74281425448423,9,50,ln0312,False,1.5,trail3.0,0.3889807928759191
337,-0.07804973874537419,0.8691866970285732,0.4124629080118694,-26.3027619571911,35.19450511830586,9,50,ln0312,False,2.0,tp1.5,0.2917355946569393
305,-0.12003394343068603,0.8148504309336821,0.3540983606557377,-36.61035274635924,47.85922910308377,9,50,ln0312,False,2.0,tp2.0,0.2917355946569393
280,-0.1117860237237617,0.8328264050916587,0.33214285714285713,-31.300086642653277,41.07722164082682,9,50,ln0312,False,2.0,tp3.0,0.2917355946569393
336,-0.07981890108338148,0.8318873892905474,0.3630952380952381,-26.81915076401618,35.19437737626251,9,50,ln0312,False,2.0,trail2.0,0.2917355946569393
292,-0.11058093856089816,0.8091523354958028,0.3184931506849315,-32.289634059782266,41.509541594753735,9,50,ln0312,False,2.0,trail3.0,0.2917355946569393
284,-0.12543138493537395,0.7814728431249384,0.38380281690140844,-35.6225133216462,46.24169567961006,9,50,ln0312,False,2.5,tp1.5,0.23338847572555144
