,zVIX,zCRED,zMOVE,zDXY,composite_eqw,composite_pca1,state_eqw,state_pca1
2016-10-06,-0.8454244062090976,1.2095196147426206,-0.8327630010547449,1.9121301644694362,0.36086559298705356,0.7526130151424837,neutral,off
2016-10-07,-0.7798323080873272,1.2096610888937376,-0.8749559538264545,1.8907971775410712,0.3614175011302568,0.7476602061165392,neutral,off
2016-10-10,-0.7897728779030667,1.1817000066446448,-0.8746332455868341,1.8889911047228551,0.3515712469693998,0.7323252891968726,neutral,off
2016-10-11,-0.5874611229345678,1.2050222600111773,-0.8743108942042939,2.0511111801389106,0.4485903557528066,0.9460178803481123,off,off
2016-10-12,-0.531159384233029,1.2202037851956258,-0.8414591631203888,2.0863571094969906,0.48348558683479964,1.010196546246242,off,off
2016-10-13,-0.45138960109136567,1.2669635592605233,-0.841159291226084,2.0216147315372837,0.4990073496200893,1.0060135258645166,off,off
2016-10-14,-0.5094758344829131,1.1999617195080337,-0.8106697138725287,2.088775001970687,0.49214779328081976,1.0227759958212583,off,off
2016-10-17,-0.5001513740303035,1.2437228104393303,-0.8268050569316208,2.068436833970511,0.49630080336197924,1.0213184656991217,off,off
2016-10-18,-0.5950036745056183,1.2281457664983972,-0.8628644030734752,2.0675478963493243,0.459456396317157,0.9696735926289668,off,off
2016-10-19,-0.6836964802183125,1.2126793184947877,-0.9076950300870319,2.0611287116534776,0.4206041299607302,0.9133746928233037,off,off
2016-10-20,-0.7509021419705625,1.2078573749388501,-0.9665640776030497,2.1210741053739772,0.40286631518480376,0.9207411058806394,off,off
2016-10-21,-0.7925381816826657,1.2104990359170142,-1.0403337440913223,2.1711237473119906,0.3871877143637542,0.925937013611114,off,off
2016-10-24,-0.8249582601554835,1.177161568112417,-1.0398830969232689,2.164406174710995,0.36918159643616494,0.8965632830366571,neutral,off
2016-10-25,-0.7797199695897973,1.1750026255968011,-1.0300539638638921,2.1687439825000756,0.38349316866079686,0.9185842717275582,off,off
2016-10-26,-0.6997639787456317,1.1727730205845925,-0.9680604983150813,2.1537754599665724,0.41468100087261295,0.9524970935843431,off,off
2016-10-27,-0.5850912609082248,1.1640690771737021,-0.9676708699823414,2.1870465604297062,0.4495883766782105,1.021131687969691,off,off
2016-10-28,-0.500090080469271,1.198772605149199,-0.824518081599948,2.1101390377635667,0.49607587021088667,1.0427006666059535,off,off
2016-10-31,-0.4110149629906055,1.2354773047713097,-0.7922720191874595,2.121499596528857,0.5384224797805255,1.1066932560423777,off,off
2016-11-01,-0.25752570429383936,1.2775112406422446,-0.7248539479526849,2.0160365084320135,0.5777920242069335,1.1113139238931067,off,off
2016-11-02,-0.17973312340535805,1.3328528225488785,-0.6809263513395437,1.972721863372707,0.6112288027941709,1.1370809321213038,off,off
2016-11-03,0.10267220873550627,1.31118832358974,-0.5833351314438298,1.937780120530134,0.6920763803528875,1.2290018469237616,off,off
2016-11-04,0.14665147660489578,1.334037645724272,-0.5233226481180099,1.9235239540141729,0.7202226070563327,1.258453170651593,off,off
2016-11-07,-0.24230272211021597,1.1957332444818625,-0.5231845424412639,2.0189930655653043,0.6123097613739217,1.1451076809795138,off,off
2016-11-08,-0.2391786402645933,1.194830952670748,-0.7032307742936837,2.027832004225825,0.570063385584574,1.1026707812809113,off,off
2016-11-09,-0.6854790744541007,1.1197664472677902,-0.47232554882938116,2.1132973248913616,0.5188147872189175,1.048279329031716,off,off
2016-11-10,-0.6484166376968448,1.2369821094493023,-0.28901222251604314,2.1505726109750123,0.6125314650528567,1.1856150646722792,off,off
2016-11-11,-0.706584730961129,1.2845720944289736,-0.2889474588667651,2.1480728131033042,0.609278179426096,1.1801262104467403,off,off
2016-11-14,-0.6746238878961844,1.164688542977328,-0.09356482097641627,2.325796136002326,0.6805739925267633,1.3466465066408893,off,off
2016-11-15,-0.7880859220769558,1.0677793764050316,-0.2433695505781084,2.33362844572059,0.5924880873676392,1.2351854870998784,off,off
2016-11-16,-0.7519801838761042,1.1195594247673117,-0.3608438870224226,2.360496201156738,0.5918078887563807,1.2561541625656258,off,off
2016-11-17,-0.7896304235686868,1.0838980778761786,-0.43657551548743345,2.422617931710526,0.570077517632646,1.2616710762848884,off,off
2016-11-18,-0.8405747680602876,1.0289911557078257,-0.3156704429987741,2.4626848225252576,0.5838576917935054,1.2897280267594813,off,off
2016-11-21,-0.8843190153604072,0.960889379745815,-0.34705388281076044,2.437374886767578,0.5417228420855564,1.220069671222997,off,off
2016-11-22,-0.8850182330311933,0.9137509964803139,-0.46810816021712365,2.4325335497633316,0.49828953824883215,1.1651871682083037,off,off
2016-11-23,-0.8826443700403487,0.9138828455754329,-0.40388571008179613,2.518497114810164,0.536462470065863,1.2539419727346113,off,off
2016-11-25,-0.891539522524988,0.9018067487533826,-0.3729065682745523,2.486270938844971,0.5309078991997033,1.2334495489437016,off,off
2016-11-28,-0.8082345678630964,0.9469384770320638,-0.40076529169861297,2.4609658057225423,0.5497261057982241,1.2506766185921998,off,off
2016-11-29,-0.8335717411870214,0.9723658279606406,-0.4430363331233748,2.4033624625184395,0.524780054042171,1.1922453611601844,off,off
2016-11-30,-0.7892246457598195,0.9307929127600323,-0.33522513524462644,2.476933172476006,0.5708190760578982,1.282565429564221,off,off
2016-12-01,-0.7131329744361341,0.9383626209735582,-0.1682588225043201,2.4112940569057497,0.6170662202347135,1.3041455721872948,off,off
2016-12-02,-0.7077875137498842,0.9240590589935038,-0.30276336414736377,2.3715529008641987,0.5712652704901137,1.23413472979039,off,off
2016-12-05,-0.9104904996657446,0.9195235430509119,-0.3680619102670759,2.2835393333930116,0.48112761662777576,1.0720435183505086,off,off
2016-12-06,-0.9460150381290348,0.8692134718654732,-0.4642724565517782,2.3276931342844085,0.44665477786726715,1.051583316843946,off,off
2016-12-07,-0.9015808697355254,0.8610961645076938,-0.5563401221056972,2.289697006801622,0.42321804486702325,1.0077483197256305,off,off
2016-12-08,-0.8582003553607291,0.821451786481322,-0.5659107125189548,2.3995117839805014,0.44921312564553484,1.0960904012074613,off,off
2016-12-09,-0.9491114051140049,0.7783277695606438,-0.4938759343813101,2.4632166540467906,0.4496392710280298,1.1256321995536538,off,off
2016-12-12,-0.8575225399346145,0.7824483743271482,-0.46899937709692063,2.377957739137579,0.45847104910829806,1.0950118392208419,off,off
2016-12-13,-0.8490170719228023,0.7802923833594875,-0.49923585131272047,2.3840833492765143,0.4540307023501198,1.094021326924533,off,off
2016-12-14,-0.8005364556274459,0.7914911649627477,-0.4849605668830062,2.5104662005556677,0.5041150857519908,1.2227408494286793,off,off
2016-12-15,-0.841275766170754,0.7934703819600517,-0.40317930463675633,2.6575164807951155,0.5516329479869142,1.3528235327508993,off,off
2016-12-16,-0.9014694339069862,0.7762631586462209,-0.4145825255353511,2.6291482869390754,0.5223398715357397,1.3051993360517156,off,off
2016-12-19,-0.9513695227419371,0.7986078482722472,-0.5023616123191671,2.6501858290720146,0.4987656355707894,1.2901281345928528,off,off
2016-12-20,-0.9776530856440915,0.7785820147098751,-0.495744328193688,2.6657810875326056,0.4927414221011753,1.2887358270290135,off,off
2016-12-21,-0.995714736621785,0.792680361682941,-0.539569150814113,2.6255197649782356,0.4707290598063196,1.2425702155813547,off,off
2016-12-22,-0.9789068459584938,0.7774469160098458,-0.5370665538258692,2.6305720062102793,0.47301138060894055,1.247674320589014,off,off
2016-12-23,-0.9774898952245964,0.7742062699715757,-0.5805929786433514,2.6157246796025406,0.45796201892654215,1.230839159314759,off,off
2016-12-27,-0.920712336906388,0.7651842801284376,-0.6367949013297821,2.612862687910765,0.45513493245075815,1.229301352598605,off,off
2016-12-28,-0.8219322781080838,0.8153467804390602,-0.6327757565268014,2.640407029910359,0.5002614439286335,1.3041093446354906,off,off
2016-12-29,-0.778580847902315,0.8394261973536723,-0.6181325725663072,2.5595623885315457,0.500568791354149,1.263812589346896,off,off
2016-12-30,-0.7096091075862521,0.8508735448137473,-0.6076266386028358,2.5173828402163285,0.512755159710247,1.258638312444912,off,off
2017-01-03,-0.8314496737775323,0.818019422103524,-0.4568819139957406,2.6216225502510317,0.5378275961453207,1.3387197144983969,off,off
2017-01-04,-0.9337277440617189,0.7980584368793191,-0.4662190971265914,2.550332635073931,0.4871110576912349,1.23596966536252,off,off
2017-01-05,-0.9518324699610441,0.8652211692072862,-0.46344537513462414,2.3913337433133557,0.4603192668562434,1.1216898526150103,off,off
2017-01-06,-0.9873586958656413,0.8153322014621215,-0.5005507314355339,2.479997416031949,0.4518550475482238,1.156647885338704,off,off
2017-01-09,-0.9623474091513525,0.8366146498578044,-0.5125360894289839,2.4383475280893947,0.4500196698417157,1.1344830999646274,off,off
2017-01-10,-0.969149463597874,0.8293289718379997,-0.5587941432948825,2.445389593741205,0.43669373967161207,1.1287232880179239,off,off
2017-01-11,-0.9923562109427932,0.838455981384766,-0.5713519763510398,2.411806419229239,0.421638553330043,1.0929650657907715,off,off
2017-01-12,-0.9632382358828734,0.8350664086918096,-0.5443025459964412,2.3522136402058345,0.41993481675458233,1.0583307569882245,neutral,off
2017-01-13,-0.9946554266021969,0.8112577685572672,-0.521693349739141,2.3268715688608257,0.40544514026918876,1.0243756016042258,neutral,off
2017-01-17,-0.9286111657583443,0.8638172774274312,-0.5381145718306759,2.2128111639038166,0.4024756759355569,0.9644650417879608,neutral,off
